Robe LED Wash 300

Lux
;Rot;Grün;Blau;Weiss;
5%;513;942;199;1384;
10%;1384;2238;498;3126;
20%;2811;4553;928;7058;
35%;4879;8090;1677;19883;
50%;6910;11667;2650;15640;
65%;8927;14985;3249;26787;
85%;12662;20220;3962;45830;
100%;14407;22931;4383;43309;

xy
;Rot (x);Rot (y);Grün (x);Grün (y);Blau (x);Blau (y);Weiss (x);Weiss (y);
5%;0,683323;0,304163;0,180347;0,691645;0,153916;0,026407;0,319690;0,336046;
10%;0,687977;0,303438;0,170666;0,692107;0,153914;0,024478;0,317711;0,331137;
20%;0,689589;0,302847;0,166797;0,690635;0,154203;0,024172;0,317455;0,332114;
35%;0,689902;0,303087;0,167479;0,690482;0,153634;0,025086;0,317341;0,326832;
50%;0,689592;0,302834;0,164062;0,688569;0,153831;0,024673;0,316278;0,326582;
65%;0,690677;0,302291;0,166061;0,688164;0,153741;0,024670;0,318056;0,333690;
85%;0,691244;0,302937;0,165032;0,688505;0,153280;0,026157;0,316010;0,323451;
100%;0,690944;0,302826;0,165784;0,687350;0,152823;0,027026;0,318346;0,331109;
